OTU,Domain,Phylum,Class,Order,Family,Genus,Species
cb3dfaee417aea65968742639c613938,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
56ae648840b76878d3da6bb008423f8c,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,,
8f7c737007cfbed8b5ea17503e45422c,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,
9e9324d43bcbe324865c824693acf593,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
a62a314b22c19fc9bc9178a27d218af3,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured_bacterium
1e104b993416995498346089f57fd3bf,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,
c6f33653e9a35b7a7da4cdbe17389cce,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,
2165b9eeaecebc9449ead832deef0256,Unassigned,,,,,,
4af2ba0295f6350e6712a1dce4f8baf5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
0b427573881f020826896cafb9900a83,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,
bf2d5908e3c42f810d3c4475dc6382b3,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Cystobacter,
6aea1ac0d1d1ea3df5486370dd2e86ac,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,uncultured_bacterium
9df5455dbc0b7ac986161cb80b2bb023,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
f86e6e5ea156f83cc99902593a0e0abb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
45435f7221dcd375b6b19e6e8ed37f28,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,uncultured_bacterium
b6a052a056c5318d6db843014cc2df17,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,
cf7e3e9a39965a2d52b256a8ab55aed5,Unassigned,,,,,,
f1fdaade3f3d12be1223453ae532227c,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
