Prevalence	TotalAbundance	Domain	Phylum	Class	Order	Family	Genus	Species	OTU
6	86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	NA	NA	NA
2	155	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	NA	NA	NA
16	2255	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA	NA	NA
1	8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	NA	NA	NA
11	2562	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	NA	NA	NA
1	248	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	NA	NA	NA
2	156	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	NA	NA	NA
21	4327	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	NA
15	25075	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	NA	NA
2	302	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA	NA
3	97	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	NA
8	5795	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionaceae	NA	NA	NA
5	128	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	NA	NA	NA
2	65	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	NA	NA	NA
2	30	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA	NA
3	798	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	uncultured	NA	NA	NA
1	2	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	NA
1	11	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriales_Incertae_Sedis	NA	NA	NA
16	4267	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA	NA
1	6	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Gastranaerophilales	NA	NA	NA
1	2	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionales	NA	NA	NA
8	422	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	NA	NA	NA
3	33	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	NA	NA	NA
